District,County,FY,DC Case Category,DC Case Type,Filing/Disposition Type,Count,Count Description
12,Allegany,FY2012,Misc,Municipal Infractions,ALL,174,Filing
12,Allegany,FY2012,Landlord Tenant,Landlord Tenant,ALL,49,Filing
12,Allegany,FY2012,Misc,Emergency Evaluations,ALL,30,Filing
12,Allegany,FY2012,Civil,Civil,ALL,1638,Filing
12,Allegany,FY2012,Misc,Civil Citations,ALL,393,Filing
12,Allegany,FY2012,Criminal,Fugitive Warrants,ALL,107,Filing
12,Allegany,FY2012,Criminal,Criminal,ALL,3417,Filing
12,Allegany,FY2012,Motor Vehicle,Payable & Must Appear,ALL,12705,Filing
12,Allegany,FY2012,Motor Vehicle,DUI/DWI,ALL,425,Filing
12,Allegany,FY2012,Peace Order & Domestic Violence,Domestic Violence,ALL,422,Filing
12,Allegany,FY2012,Peace Order & Domestic Violence,Peace Order ,ALL,208,Filing
12,Allegany,FY2012,Motor Vehicle,Parking & Red Light,ALL,58,Filing
12,Allegany,FY2012,Motor Vehicle,Payable & Must Appear,Paid,10038,Disposition
12,Allegany,FY2012,Motor Vehicle,Payable & Must Appear,Miscellaneous,741,Disposition
12,Allegany,FY2012,Motor Vehicle,DUI/DWI,Probation Before Judgment,179,Disposition
12,Allegany,FY2012,Motor Vehicle,Payable & Must Appear,Tried,1522,Disposition
12,Allegany,FY2012,Motor Vehicle,DUI/DWI,Guilty,173,Disposition
12,Allegany,FY2012,Motor Vehicle,DUI/DWI,Stet,20,Disposition
12,Allegany,FY2012,Motor Vehicle,DUI/DWI,Nolle Prosequi,76,Disposition
12,Allegany,FY2012,Motor Vehicle,DUI/DWI,Not Guilty,5,Disposition
12,Allegany,FY2012,Misc,Civil Citations,All Disposition Manner,368,Disposition
12,Allegany,FY2012,Criminal,Criminal,Nolle Prosequi,1160,Disposition
12,Allegany,FY2012,Criminal,Criminal,Other,1,Disposition
12,Allegany,FY2012,Criminal,Criminal,Probation Before Judgment,263,Disposition
12,Allegany,FY2012,Criminal,Criminal,Dismissed,11,Disposition
12,Allegany,FY2012,Criminal,Criminal,Forwarded to Circuit Court,152,Disposition
12,Allegany,FY2012,Criminal,Criminal,Guilty,717,Disposition
12,Allegany,FY2012,Criminal,Criminal,Stet,635,Disposition
12,Allegany,FY2012,Misc,Municipal Infractions,All Disposition Manner,167,Disposition
12,Allegany,FY2012,Criminal,Criminal,Not Guilty,63,Disposition
12,Allegany,FY2012,Criminal,Criminal,Jury Trial Prayer,236,Disposition
12,Allegany,FY2012,Civil,Civil,All Judgements,992,Disposition
12,Allegany,FY2012,Peace Order & Domestic Violence,Domestic Violence,Protective Orders Granted,126,Disposition
12,Allegany,FY2012,Peace Order & Domestic Violence,Peace Order,Peace Orders Granted,80,Disposition
12,Allegany,FY2012,Peace Order & Domestic Violence,Domestic Violence,Denied/Dismissed,288,Disposition
12,Allegany,FY2012,Peace Order & Domestic Violence,Peace Order,Denied/Dismissed,828,Disposition
12,Allegany,FY2012,Motor Vehicle,Parking & Red Light,All Disposition Manner,58,Disposition
12,Allegany,FY2012,Misc,Emergency Evaluations,Granted,26,Disposition
12,Allegany,FY2013,Landlord Tenant,Landlord Tenant,ALL,59,Filing
12,Allegany,FY2013,Misc,Municipal Infractions,ALL,149,Filing
12,Allegany,FY2013,Criminal,Fugitive Warrants,ALL,114,Filing
12,Allegany,FY2013,Criminal,Criminal,ALL,3469,Filing
12,Allegany,FY2013,Misc,Civil Citations,ALL,236,Filing
12,Allegany,FY2013,Misc,Emergency Evaluations,ALL,29,Filing
12,Allegany,FY2013,Civil,Civil,ALL,1531,Filing
12,Allegany,FY2013,Motor Vehicle,Payable & Must Appear,ALL,10565,Filing
12,Allegany,FY2013,Motor Vehicle,DUI/DWI,ALL,407,Filing
12,Allegany,FY2013,Peace Order & Domestic Violence,Domestic Violence,ALL,365,Filing
12,Allegany,FY2013,Peace Order & Domestic Violence,Peace Order ,ALL,190,Filing
12,Allegany,FY2013,Motor Vehicle,Parking & Red Light,ALL,26,Filing
12,Allegany,FY2013,Motor Vehicle,Payable & Must Appear,Paid,8271,Disposition
12,Allegany,FY2013,Motor Vehicle,Payable & Must Appear,Miscellaneous,940,Disposition
12,Allegany,FY2013,Motor Vehicle,DUI/DWI,Probation Before Judgment,177,Disposition
12,Allegany,FY2013,Motor Vehicle,Payable & Must Appear,Tried,1459,Disposition
12,Allegany,FY2013,Motor Vehicle,DUI/DWI,Guilty,192,Disposition
12,Allegany,FY2013,Motor Vehicle,DUI/DWI,Nolle Prosequi,98,Disposition
12,Allegany,FY2013,Motor Vehicle,DUI/DWI,Stet,20,Disposition
12,Allegany,FY2013,Motor Vehicle,DUI/DWI,Other,1,Disposition
12,Allegany,FY2013,Motor Vehicle,DUI/DWI,Not Guilty,2,Disposition
12,Allegany,FY2013,Misc,Municipal Infractions,All Disposition Manner,154,Disposition
12,Allegany,FY2013,Criminal,Criminal,Dismissed,12,Disposition
12,Allegany,FY2013,Criminal,Criminal,Forwarded to Circuit Court,163,Disposition
12,Allegany,FY2013,Criminal,Criminal,Jury Trial Prayer,265,Disposition
12,Allegany,FY2013,Misc,Civil Citations,All Disposition Manner,341,Disposition
12,Allegany,FY2013,Criminal,Criminal,Nolle Prosequi,1698,Disposition
12,Allegany,FY2013,Criminal,Criminal,Stet,634,Disposition
12,Allegany,FY2013,Criminal,Criminal,Guilty,727,Disposition
12,Allegany,FY2013,Criminal,Criminal,Probation Before Judgment,263,Disposition
12,Allegany,FY2013,Criminal,Criminal,Not Guilty,50,Disposition
12,Allegany,FY2013,Civil,Civil,All Judgements,1034,Disposition
12,Allegany,FY2013,Peace Order & Domestic Violence,Domestic Violence,Protective Orders Granted,111,Disposition
12,Allegany,FY2013,Peace Order & Domestic Violence,Peace Order,Peace Orders Granted,80,Disposition
12,Allegany,FY2013,Peace Order & Domestic Violence,Domestic Violence,Denied/Dismissed,240,Disposition
12,Allegany,FY2013,Peace Order & Domestic Violence,Peace Order,Denied/Dismissed,110,Disposition
12,Allegany,FY2013,Motor Vehicle,Parking & Red Light,All Disposition Manner,26,Disposition
12,Allegany,FY2013,Misc,Emergency Evaluations,Granted,24,Disposition
12,Allegany,FY2014,Misc,Municipal Infractions,ALL,168,Filing
12,Allegany,FY2014,Civil,Civil,ALL,1163,Filing
12,Allegany,FY2014,Misc,Emergency Evaluations,ALL,28,Filing
12,Allegany,FY2014,Landlord Tenant,Landlord Tenant,ALL,46,Filing
12,Allegany,FY2014,Criminal,Fugitive Warrants,ALL,103,Filing
12,Allegany,FY2014,Criminal,Criminal,ALL,3022,Filing
12,Allegany,FY2014,Misc,Civil Citations,ALL,224,Filing
12,Allegany,FY2014,Motor Vehicle,Payable & Must Appear,ALL,9741,Filing
12,Allegany,FY2014,Motor Vehicle,DUI/DWI,ALL,348,Filing
12,Allegany,FY2014,Peace Order & Domestic Violence,Domestic Violence,ALL,360,Filing
12,Allegany,FY2014,Peace Order & Domestic Violence,Peace Order ,ALL,186,Filing
12,Allegany,FY2014,Motor Vehicle,Parking & Red Light,ALL,64,Filing
12,Allegany,FY2014,Motor Vehicle,Payable & Must Appear,Tried,1332,Disposition
12,Allegany,FY2014,Motor Vehicle,DUI/DWI,Probation Before Judgment,184,Disposition
12,Allegany,FY2014,Motor Vehicle,Payable & Must Appear,Paid,7580,Disposition
12,Allegany,FY2014,Motor Vehicle,Payable & Must Appear,Miscellaneous,651,Disposition
12,Allegany,FY2014,Motor Vehicle,DUI/DWI,Nolle Prosequi,131,Disposition
12,Allegany,FY2014,Motor Vehicle,DUI/DWI,Guilty,120,Disposition
12,Allegany,FY2014,Motor Vehicle,DUI/DWI,Stet,24,Disposition
12,Allegany,FY2014,Motor Vehicle,DUI/DWI,Not Guilty,6,Disposition
12,Allegany,FY2014,Criminal,Criminal,Forwarded to Circuit Court,120,Disposition
12,Allegany,FY2014,Criminal,Criminal,Guilty,721,Disposition
12,Allegany,FY2014,Criminal,Criminal,Stet,581,Disposition
12,Allegany,FY2014,Misc,Municipal Infractions,All Disposition Manner,163,Disposition
12,Allegany,FY2014,Criminal,Criminal,Nolle Prosequi,1429,Disposition
12,Allegany,FY2014,Criminal,Criminal,Jury Trial Prayer,265,Disposition
12,Allegany,FY2014,Criminal,Criminal,Not Guilty,58,Disposition
12,Allegany,FY2014,Criminal,Criminal,Probation Before Judgment,332,Disposition
12,Allegany,FY2014,Criminal,Criminal,Dismissed,9,Disposition
12,Allegany,FY2014,Misc,Civil Citations,All Disposition Manner,286,Disposition
12,Allegany,FY2014,Civil,Civil,All Judgements,810,Disposition
12,Allegany,FY2014,Peace Order & Domestic Violence,Domestic Violence,Protective Orders Granted,99,Disposition
12,Allegany,FY2014,Peace Order & Domestic Violence,Peace Order,Peace Orders Granted,78,Disposition
12,Allegany,FY2014,Peace Order & Domestic Violence,Domestic Violence,Denied/Dismissed,248,Disposition
12,Allegany,FY2014,Peace Order & Domestic Violence,Peace Order,Denied/Dismissed,100,Disposition
12,Allegany,FY2014,Motor Vehicle,Parking & Red Light,All Disposition Manner,64,Disposition
12,Allegany,FY2014,Misc,Emergency Evaluations,Granted,21,Disposition
12,Allegany,FY2015,Civil,Civil,ALL,1124,Filing
12,Allegany,FY2015,Criminal,Criminal,ALL,2867,Filing
12,Allegany,FY2015,Criminal,Fugitive Warrants,ALL,118,Filing
12,Allegany,FY2015,Misc,Emergency Evaluations,ALL,28,Filing
12,Allegany,FY2015,Misc,Civil Citations,ALL,301,Filing
12,Allegany,FY2015,Misc,Municipal Infractions,ALL,173,Filing
12,Allegany,FY2015,Landlord Tenant,Landlord Tenant,ALL,52,Filing
12,Allegany,FY2015,Motor Vehicle,Payable & Must Appear,ALL,9941,Filing
12,Allegany,FY2015,Motor Vehicle,DUI/DWI,ALL,285,Filing
12,Allegany,FY2015,Peace Order & Domestic Violence,Domestic Violence,ALL,366,Filing
12,Allegany,FY2015,Peace Order & Domestic Violence,Peace Order ,ALL,206,Filing
12,Allegany,FY2015,Motor Vehicle,Parking & Red Light,ALL,116,Filing
12,Allegany,FY2015,Motor Vehicle,Payable & Must Appear,Paid,7502,Disposition
12,Allegany,FY2015,Motor Vehicle,Payable & Must Appear,Tried,1455,Disposition
12,Allegany,FY2015,Motor Vehicle,DUI/DWI,Guilty,93,Disposition
12,Allegany,FY2015,Motor Vehicle,Payable & Must Appear,Miscellaneous,575,Disposition
12,Allegany,FY2015,Motor Vehicle,DUI/DWI,Probation Before Judgment,137,Disposition
12,Allegany,FY2015,Motor Vehicle,DUI/DWI,Stet,10,Disposition
12,Allegany,FY2015,Motor Vehicle,DUI/DWI,Nolle Prosequi,56,Disposition
12,Allegany,FY2015,Motor Vehicle,DUI/DWI,Not Guilty,2,Disposition
12,Allegany,FY2015,Criminal,Criminal,Probation Before Judgment,314,Disposition
12,Allegany,FY2015,Criminal,Criminal,Not Guilty,52,Disposition
12,Allegany,FY2015,Criminal,Criminal,Guilty,681,Disposition
12,Allegany,FY2015,Criminal,Criminal,Dismissed,8,Disposition
12,Allegany,FY2015,Criminal,Criminal,Forwarded to Circuit Court,208,Disposition
12,Allegany,FY2015,Misc,Civil Citations,All Disposition Manner,240,Disposition
12,Allegany,FY2015,Criminal,Criminal,Jury Trial Prayer,365,Disposition
12,Allegany,FY2015,Misc,Municipal Infractions,All Disposition Manner,149,Disposition
12,Allegany,FY2015,Criminal,Criminal,Other,1,Disposition
12,Allegany,FY2015,Criminal,Criminal,Nolle Prosequi,872,Disposition
12,Allegany,FY2015,Criminal,Criminal,Stet,349,Disposition
12,Allegany,FY2015,Civil,Civil,All Judgements,657,Disposition
12,Allegany,FY2015,Peace Order & Domestic Violence,Domestic Violence,Protective Orders Granted,109,Disposition
12,Allegany,FY2015,Peace Order & Domestic Violence,Peace Order,Peace Orders Granted,77,Disposition
12,Allegany,FY2015,Peace Order & Domestic Violence,Domestic Violence,Denied/Dismissed,262,Disposition
12,Allegany,FY2015,Peace Order & Domestic Violence,Peace Order,Denied/Dismissed,125,Disposition
12,Allegany,FY2015,Motor Vehicle,Parking & Red Light,All Disposition Manner,116,Disposition
12,Allegany,FY2015,Misc,Emergency Evaluations,Granted,22,Disposition
12,Allegany,FY2016,Landlord Tenant,Landlord Tenant,ALL,57,Filing
12,Allegany,FY2016,Criminal,Criminal,ALL,2757,Filing
12,Allegany,FY2016,Misc,Emergency Evaluations,ALL,27,Filing
12,Allegany,FY2016,Misc,Civil Citations,ALL,415,Filing
12,Allegany,FY2016,Misc,Municipal Infractions,ALL,133,Filing
12,Allegany,FY2016,Civil,Civil,ALL,1160,Filing
12,Allegany,FY2016,Criminal,Fugitive Warrants,ALL,135,Filing
12,Allegany,FY2016,Motor Vehicle,Payable & Must Appear,ALL,10506,Filing
12,Allegany,FY2016,Motor Vehicle,DUI/DWI,ALL,268,Filing
12,Allegany,FY2016,Peace Order & Domestic Violence,Domestic Violence,ALL,360,Filing
12,Allegany,FY2016,Peace Order & Domestic Violence,Peace Order ,ALL,191,Filing
12,Allegany,FY2016,Motor Vehicle,Parking & Red Light,ALL,22,Filing
12,Allegany,FY2016,Motor Vehicle,Payable & Must Appear,Tried,1631,Disposition
12,Allegany,FY2016,Motor Vehicle,Payable & Must Appear,Paid,8046,Disposition
12,Allegany,FY2016,Motor Vehicle,Payable & Must Appear,Miscellaneous,633,Disposition
12,Allegany,FY2016,Motor Vehicle,DUI/DWI,Nolle Prosequi,46,Disposition
12,Allegany,FY2016,Motor Vehicle,DUI/DWI,Probation Before Judgment,118,Disposition
12,Allegany,FY2016,Motor Vehicle,DUI/DWI,Guilty,83,Disposition
12,Allegany,FY2016,Motor Vehicle,DUI/DWI,Jury Trial Prayer,1,Disposition
12,Allegany,FY2016,Motor Vehicle,DUI/DWI,Stet,16,Disposition
12,Allegany,FY2016,Motor Vehicle,DUI/DWI,Not Guilty,8,Disposition
12,Allegany,FY2016,Criminal,Criminal,Probation Before Judgment,274,Disposition
12,Allegany,FY2016,Criminal,Criminal,Not Guilty,44,Disposition
12,Allegany,FY2016,Criminal,Criminal,Dismissed,8,Disposition
12,Allegany,FY2016,Criminal,Criminal,Forwarded to Circuit Court,171,Disposition
12,Allegany,FY2016,Criminal,Criminal,Nolle Prosequi,925,Disposition
12,Allegany,FY2016,Misc,Municipal Infractions,All Disposition Manner,142,Disposition
12,Allegany,FY2016,Criminal,Criminal,Jury Trial Prayer,386,Disposition
12,Allegany,FY2016,Criminal,Criminal,Other,8,Disposition
12,Allegany,FY2016,Criminal,Criminal,Stet,338,Disposition
12,Allegany,FY2016,Criminal,Criminal,Guilty,775,Disposition
12,Allegany,FY2016,Misc,Civil Citations,All Disposition Manner,429,Disposition
12,Allegany,FY2016,Civil,Civil,All Judgements,666,Disposition
12,Allegany,FY2016,Peace Order & Domestic Violence,Domestic Violence,Protective Orders Granted,95,Disposition
12,Allegany,FY2016,Peace Order & Domestic Violence,Peace Order,Peace Orders Granted,83,Disposition
12,Allegany,FY2016,Peace Order & Domestic Violence,Domestic Violence,Denied/Dismissed,254,Disposition
12,Allegany,FY2016,Peace Order & Domestic Violence,Peace Order,Denied/Dismissed,105,Disposition
12,Allegany,FY2016,Motor Vehicle,Parking & Red Light,All Disposition Manner,22,Disposition
12,Allegany,FY2016,Misc,Emergency Evaluations,Granted,24,Disposition
12,Allegany,FY2017,Misc,Municipal Infractions,ALL,78,Filing
12,Allegany,FY2017,Criminal,Fugitive Warrants,ALL,99,Filing
12,Allegany,FY2017,Civil,Civil,ALL,1282,Filing
12,Allegany,FY2017,Criminal,Criminal,ALL,3052,Filing
12,Allegany,FY2017,Misc,Civil Citations,ALL,431,Filing
12,Allegany,FY2017,Landlord Tenant,Landlord Tenant,ALL,57,Filing
12,Allegany,FY2017,Misc,Emergency Evaluations,ALL,20,Filing
12,Allegany,FY2017,Motor Vehicle,Payable & Must Appear,ALL,8842,Filing
12,Allegany,FY2017,Motor Vehicle,DUI/DWI,ALL,291,Filing
12,Allegany,FY2017,Peace Order & Domestic Violence,Domestic Violence,ALL,374,Filing
12,Allegany,FY2017,Peace Order & Domestic Violence,Peace Order ,ALL,204,Filing
12,Allegany,FY2017,Motor Vehicle,Parking & Red Light,ALL,32,Filing
12,Allegany,FY2017,Motor Vehicle,Payable & Must Appear,Paid,6764,Disposition
12,Allegany,FY2017,Motor Vehicle,Payable & Must Appear,Miscellaneous,727,Disposition
12,Allegany,FY2017,Motor Vehicle,Payable & Must Appear,Tried,1372,Disposition
12,Allegany,FY2017,Motor Vehicle,DUI/DWI,Probation Before Judgment,128,Disposition
12,Allegany,FY2017,Motor Vehicle,DUI/DWI,Guilty,75,Disposition
12,Allegany,FY2017,Motor Vehicle,DUI/DWI,Nolle Prosequi,41,Disposition
12,Allegany,FY2017,Motor Vehicle,DUI/DWI,Stet,22,Disposition
12,Allegany,FY2017,Motor Vehicle,DUI/DWI,Not Guilty,1,Disposition
12,Allegany,FY2017,Motor Vehicle,DUI/DWI,Jury Trial Prayer,3,Disposition
12,Allegany,FY2017,Motor Vehicle,DUI/DWI,Other,2,Disposition
12,Allegany,FY2017,Misc,Civil Citations,All Disposition Manner,438,Disposition
12,Allegany,FY2017,Criminal,Criminal,Jury Trial Prayer,539,Disposition
12,Allegany,FY2017,Criminal,Criminal,Forwarded to Circuit Court,213,Disposition
12,Allegany,FY2017,Criminal,Criminal,Dismissed,8,Disposition
12,Allegany,FY2017,Criminal,Criminal,Guilty,788,Disposition
12,Allegany,FY2017,Criminal,Criminal,Not Guilty,47,Disposition
12,Allegany,FY2017,Criminal,Criminal,Stet,414,Disposition
12,Allegany,FY2017,Criminal,Criminal,Nolle Prosequi,884,Disposition
12,Allegany,FY2017,Misc,Municipal Infractions,All Disposition Manner,125,Disposition
12,Allegany,FY2017,Criminal,Criminal,Probation Before Judgment,267,Disposition
12,Allegany,FY2017,Criminal,Criminal,Other,20,Disposition
12,Allegany,FY2017,Civil,Civil,All Judgements,784,Disposition
12,Allegany,FY2017,Peace Order & Domestic Violence,Domestic Violence,Protective Orders Granted,123,Disposition
12,Allegany,FY2017,Peace Order & Domestic Violence,Peace Order,Peace Orders Granted,81,Disposition
12,Allegany,FY2017,Peace Order & Domestic Violence,Domestic Violence,Denied/Dismissed,242,Disposition
12,Allegany,FY2017,Peace Order & Domestic Violence,Peace Order,Denied/Dismissed,125,Disposition
12,Allegany,FY2017,Motor Vehicle,Parking & Red Light,All Disposition Manner,32,Disposition
12,Allegany,FY2017,Misc,Emergency Evaluations,Granted,16,Disposition
12,Allegany,FY2018,Criminal,Fugitive Warrants,ALL,109,Filing
12,Allegany,FY2018,Criminal,Criminal,ALL,2823,Filing
12,Allegany,FY2018,Misc,Municipal Infractions,ALL,87,Filing
12,Allegany,FY2018,Landlord Tenant,Landlord Tenant,ALL,949,Filing
12,Allegany,FY2018,Misc,Civil Citations,ALL,381,Filing
12,Allegany,FY2018,Misc,Emergency Evaluations,ALL,23,Filing
12,Allegany,FY2018,Civil,Civil,ALL,1326,Filing
12,Allegany,FY2018,Motor Vehicle,Payable & Must Appear,ALL,8349,Filing
12,Allegany,FY2018,Motor Vehicle,DUI/DWI,ALL,307,Filing
12,Allegany,FY2018,Peace Order & Domestic Violence,Domestic Violence,ALL,329,Filing
12,Allegany,FY2018,Peace Order & Domestic Violence,Peace Order ,ALL,190,Filing
12,Allegany,FY2018,Motor Vehicle,Parking & Red Light,ALL,24,Filing
12,Allegany,FY2018,Motor Vehicle,Payable & Must Appear,Tried,1246,Disposition
12,Allegany,FY2018,Motor Vehicle,Payable & Must Appear,Paid,6171,Disposition
12,Allegany,FY2018,Motor Vehicle,Payable & Must Appear,Miscellaneous,797,Disposition
12,Allegany,FY2018,Motor Vehicle,DUI/DWI,Guilty,69,Disposition
12,Allegany,FY2018,Motor Vehicle,DUI/DWI,Probation Before Judgment,121,Disposition
12,Allegany,FY2018,Motor Vehicle,DUI/DWI,Stet,11,Disposition
12,Allegany,FY2018,Motor Vehicle,DUI/DWI,Jury Trial Prayer,90,Disposition
12,Allegany,FY2018,Motor Vehicle,DUI/DWI,Nolle Prosequi,50,Disposition
12,Allegany,FY2018,Motor Vehicle,DUI/DWI,Other,2,Disposition
12,Allegany,FY2018,Motor Vehicle,DUI/DWI,Not Guilty,1,Disposition
12,Allegany,FY2018,Criminal,Criminal,Probation Before Judgment,258,Disposition
12,Allegany,FY2018,Criminal,Criminal,Dismissed,13,Disposition
12,Allegany,FY2018,Criminal,Criminal,Jury Trial Prayer,475,Disposition
12,Allegany,FY2018,Criminal,Criminal,Forwarded to Circuit Court,160,Disposition
12,Allegany,FY2018,Criminal,Criminal,Other,5,Disposition
12,Allegany,FY2018,Criminal,Criminal,Not Guilty,48,Disposition
12,Allegany,FY2018,Misc,Civil Citations,All Disposition Manner,375,Disposition
12,Allegany,FY2018,Criminal,Criminal,Nolle Prosequi,890,Disposition
12,Allegany,FY2018,Criminal,Criminal,Stet,405,Disposition
12,Allegany,FY2018,Criminal,Criminal,Guilty,673,Disposition
12,Allegany,FY2018,Misc,Municipal Infractions,All Disposition Manner,64,Disposition
12,Allegany,FY2018,Civil,Civil,All Judgements,796,Disposition
12,Allegany,FY2018,Peace Order & Domestic Violence,Domestic Violence,Protective Orders Granted,84,Disposition
12,Allegany,FY2018,Peace Order & Domestic Violence,Peace Order,Peace Orders Granted,58,Disposition
12,Allegany,FY2018,Peace Order & Domestic Violence,Domestic Violence,Denied/Dismissed,203,Disposition
12,Allegany,FY2018,Peace Order & Domestic Violence,Peace Order,Denied/Dismissed,106,Disposition
12,Allegany,FY2018,Motor Vehicle,Parking & Red Light,All Disposition Manner,24,Disposition
12,Allegany,FY2018,Misc,Emergency Evaluations,Granted,21,Disposition
12,Allegany,FY2019,Misc,Municipal Infractions,ALL,70,Filing
12,Allegany,FY2019,Criminal,Criminal,ALL,2500,Filing
12,Allegany,FY2019,Criminal,Fugitive Warrants,ALL,104,Filing
12,Allegany,FY2019,Civil,Civil,ALL,1314,Filing
12,Allegany,FY2019,Landlord Tenant,Landlord Tenant,ALL,1223,Filing
12,Allegany,FY2019,Misc,Civil Citations,ALL,242,Filing
12,Allegany,FY2019,Misc,Emergency Evaluations,ALL,18,Filing
12,Allegany,FY2019,Motor Vehicle,Payable & Must Appear,ALL,7202,Filing
12,Allegany,FY2019,Motor Vehicle,DUI/DWI,ALL,323,Filing
12,Allegany,FY2019,Peace Order & Domestic Violence,Domestic Violence,ALL,337,Filing
12,Allegany,FY2019,Peace Order & Domestic Violence,Peace Order ,ALL,180,Filing
12,Allegany,FY2019,Motor Vehicle,Parking & Red Light,ALL,28,Filing
12,Allegany,FY2019,Motor Vehicle,Payable & Must Appear,Paid,5292,Disposition
12,Allegany,FY2019,Motor Vehicle,Payable & Must Appear,Miscellaneous,844,Disposition
12,Allegany,FY2019,Motor Vehicle,DUI/DWI,Guilty,51,Disposition
12,Allegany,FY2019,Motor Vehicle,DUI/DWI,Jury Trial Prayer,106,Disposition
12,Allegany,FY2019,Motor Vehicle,Payable & Must Appear,Tried,916,Disposition
12,Allegany,FY2019,Motor Vehicle,DUI/DWI,Probation Before Judgment,127,Disposition
12,Allegany,FY2019,Motor Vehicle,DUI/DWI,Nolle Prosequi,23,Disposition
12,Allegany,FY2019,Motor Vehicle,DUI/DWI,Stet,3,Disposition
12,Allegany,FY2019,Motor Vehicle,DUI/DWI,Not Guilty,3,Disposition
12,Allegany,FY2019,Misc,Municipal Infractions,All Disposition Manner,64,Disposition
12,Allegany,FY2019,Criminal,Criminal,Jury Trial Prayer,435,Disposition
12,Allegany,FY2019,Criminal,Criminal,Forwarded to Circuit Court,192,Disposition
12,Allegany,FY2019,Criminal,Criminal,Stet,344,Disposition
12,Allegany,FY2019,Criminal,Criminal,Not Guilty,45,Disposition
12,Allegany,FY2019,Criminal,Criminal,Probation Before Judgment,229,Disposition
12,Allegany,FY2019,Criminal,Criminal,Nolle Prosequi,754,Disposition
12,Allegany,FY2019,Misc,Civil Citations,All Disposition Manner,271,Disposition
12,Allegany,FY2019,Criminal,Criminal,Guilty,533,Disposition
12,Allegany,FY2019,Criminal,Criminal,Dismissed,11,Disposition
12,Allegany,FY2019,Criminal,Criminal,Other,1,Disposition
12,Allegany,FY2019,Civil,Civil,All Judgements,787,Disposition
12,Allegany,FY2019,Peace Order & Domestic Violence,Domestic Violence,Protective Orders Granted,112,Disposition
12,Allegany,FY2019,Peace Order & Domestic Violence,Peace Order,Peace Orders Granted,64,Disposition
12,Allegany,FY2019,Peace Order & Domestic Violence,Domestic Violence,Denied/Dismissed,213,Disposition
12,Allegany,FY2019,Peace Order & Domestic Violence,Peace Order,Denied/Dismissed,108,Disposition
12,Allegany,FY2019,Motor Vehicle,Parking & Red Light,All Disposition Manner,28,Disposition
12,Allegany,FY2019,Misc,Emergency Evaluations,Granted,18,Disposition
12,Allegany,FY2020,Misc,Municipal Infractions,ALL,73,Filing
12,Allegany,FY2020,Criminal,Criminal,ALL,2411,Filing
12,Allegany,FY2020,Landlord Tenant,Landlord Tenant,ALL,856,Filing
12,Allegany,FY2020,Criminal,Fugitive Warrants,ALL,88,Filing
12,Allegany,FY2020,Misc,Emergency Evaluations,ALL,25,Filing
12,Allegany,FY2020,Misc,Civil Citations,ALL,158,Filing
12,Allegany,FY2020,Civil,Civil,ALL,1249,Filing
12,Allegany,FY2020,Misc,Injunctions,ALL,1,Filing
12,Allegany,FY2020,Motor Vehicle,DUI/DWI,ALL,250,Filing
12,Allegany,FY2020,Motor Vehicle,Payable & Must Appear,ALL,5548,Filing
12,Allegany,FY2020,Peace Order & Domestic Violence,Domestic Violence,ALL,363,Filing
12,Allegany,FY2020,Peace Order & Domestic Violence,Peace Order ,ALL,174,Filing
12,Allegany,FY2020,Motor Vehicle,Parking & Red Light,ALL,28,Filing
12,Allegany,FY2020,Motor Vehicle,Payable & Must Appear,Miscellaneous,707,Disposition
12,Allegany,FY2020,Motor Vehicle,DUI/DWI,Probation Before Judgment,87,Disposition
12,Allegany,FY2020,Motor Vehicle,Payable & Must Appear,Paid,3974,Disposition
12,Allegany,FY2020,Motor Vehicle,DUI/DWI,Jury Trial Prayer,79,Disposition
12,Allegany,FY2020,Motor Vehicle,Payable & Must Appear,Tried,571,Disposition
12,Allegany,FY2020,Motor Vehicle,DUI/DWI,Nolle Prosequi,22,Disposition
12,Allegany,FY2020,Motor Vehicle,DUI/DWI,Guilty,34,Disposition
12,Allegany,FY2020,Motor Vehicle,DUI/DWI,Other,5,Disposition
12,Allegany,FY2020,Motor Vehicle,DUI/DWI,Not Guilty,1,Disposition
12,Allegany,FY2020,Motor Vehicle,DUI/DWI,Dismissed,1,Disposition
12,Allegany,FY2020,Motor Vehicle,DUI/DWI,Stet,1,Disposition
12,Allegany,FY2020,Criminal,Criminal,Stet,262,Disposition
12,Allegany,FY2020,Misc,Civil Citations,All Disposition Manner,159,Disposition
12,Allegany,FY2020,Criminal,Criminal,Dismissed,11,Disposition
12,Allegany,FY2020,Criminal,Criminal,Nolle Prosequi,696,Disposition
12,Allegany,FY2020,Criminal,Criminal,Other,9,Disposition
12,Allegany,FY2020,Criminal,Criminal,Guilty,553,Disposition
12,Allegany,FY2020,Misc,Municipal Infractions,All Disposition Manner,60,Disposition
12,Allegany,FY2020,Criminal,Criminal,Forwarded to Circuit Court,138,Disposition
12,Allegany,FY2020,Criminal,Criminal,Probation Before Judgment,146,Disposition
12,Allegany,FY2020,Criminal,Criminal,Jury Trial Prayer,403,Disposition
12,Allegany,FY2020,Criminal,Criminal,Not Guilty,28,Disposition
12,Allegany,FY2020,Civil,Civil,All Judgements,641,Disposition
12,Allegany,FY2020,Peace Order & Domestic Violence,Domestic Violence,Protective Orders Granted,134,Disposition
